ID;Warehouse_block;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Reached_on_Time
42;F;Ship;4;4;136;3;high;F;35;1234;yes
43;B;Ship;6;4;161;4;medium;M;3;1747;yes
44;F;Ship;4;2;283;7;high;F;9;5252;yes
45;D;Flight;3;5;218;3;low;M;2;5841;no
46;C;Ship;5;4;158;3;low;F;10;4670;yes
47;B;Flight;5;1;207;3;low;F;1;4112;no
48;B;Ship;4;1;216;2;low;F;5;5059;no
49;B;Road;4;5;213;3;low;F;7;4490;no
50;F;Ship;4;5;238;3;low;M;9;1724;yes
51;A;Ship;3;1;101;5;low;F;3;4807;no
52;B;Ship;5;3;194;4;low;M;9;5851;no
53;F;Ship;4;3;275;5;low;M;2;4622;yes
54;B;Ship;3;2;272;3;low;M;7;5657;yes
55;A;Road;4;5;198;3;low;M;2;4272;no
56;F;Ship;5;3;254;6;low;M;8;1932;no
57;F;Ship;4;1;132;2;medium;M;1;5025;yes
58;C;Ship;6;5;111;6;high;F;28;1216;yes
59;F;Ship;3;5;156;2;low;F;43;1301;yes
60;C;Ship;4;4;197;2;medium;F;1;5211;no
61;A;Ship;2;1;96;2;high;F;9;4449;yes
62;D;Ship;4;3;97;2;low;M;26;1598;yes
63;D;Flight;4;2;219;3;low;F;9;5703;no
64;C;Ship;6;3;141;3;low;M;7;5222;yes
65;D;Road;5;5;253;6;low;F;1;1300;no
66;B;Ship;4;3;246;3;low;F;5;4710;no
67;F;Ship;5;4;234;3;low;F;2;4269;no
68;D;Flight;4;1;140;4;low;M;6;5067;no
69;F;Ship;4;3;257;3;low;M;8;5944;no
70;F;Ship;4;1;183;3;medium;F;4;4789;no
71;A;Road;5;4;256;3;low;F;43;3658;yes
72;F;Ship;4;3;274;3;low;F;5;4409;no
73;D;Ship;2;1;277;6;low;M;10;4165;no
74;D;Ship;4;5;108;6;medium;M;46;1882;yes
75;C;Ship;4;1;118;5;low;M;50;1413;yes
76;A;Flight;5;1;262;2;high;M;9;5008;no
77;B;Ship;5;5;184;3;medium;M;7;4742;no
78;F;Flight;4;5;137;2;low;M;7;4068;no
79;A;Ship;4;4;142;4;medium;M;2;1461;yes
80;B;Flight;5;5;232;3;low;F;3;5718;yes
81;F;Ship;4;2;184;2;medium;F;10;5959;no
82;B;Ship;5;5;266;3;medium;F;53;3089;yes
83;F;Road;5;5;192;3;medium;F;37;2197;yes
84;F;Ship;4;3;242;2;medium;M;2;5879;no
85;C;Flight;5;4;217;2;medium;F;3;5925;no
86;B;Ship;4;2;182;3;medium;M;9;5735;no
87;D;Road;3;2;229;3;low;M;2;4447;yes
88;B;Ship;3;4;177;3;low;F;6;4445;no
89;C;Flight;2;5;254;2;low;M;10;5718;yes
90;A;Ship;3;1;135;4;medium;M;47;1840;yes
91;F;Ship;6;1;142;5;low;F;30;1464;yes
92;B;Flight;5;4;229;2;medium;M;9;3667;yes
93;A;Flight;4;3;142;2;low;F;5;5502;yes
94;F;Road;4;1;208;2;low;F;5;5707;yes
95;F;Flight;5;2;156;2;medium;M;19;1311;yes
96;F;Ship;2;5;135;6;medium;F;9;5777;yes
97;F;Ship;4;1;163;2;low;F;3;4099;yes
98;F;Road;4;4;266;3;low;M;4;5905;no
99;C;Flight;4;2;239;5;low;F;10;1429;no
100;D;Ship;4;4;266;7;medium;M;3;5672;yes
101;A;Ship;3;4;265;8;low;M;2;3622;yes
102;D;Road;4;2;253;5;low;F;3;4676;yes
103;B;Ship;5;3;259;5;low;M;2;1730;no
104;F;Ship;4;1;135;2;high;F;25;1009;yes
105;A;Ship;4;4;219;3;medium;M;10;4947;no
106;F;Flight;3;3;104;5;medium;F;41;1936;yes
107;A;Ship;6;5;206;2;low;F;6;5646;yes
108;;Ship;5;2;169;5;medium;F;2;4542;no
109;D;Ship;2;4;165;3;medium;M;7;5856;no
110;F;Ship;4;3;250;6;medium;M;7;5115;yes
111;D;Ship;6;1;303;4;low;F;9;1080;no
112;A;Road;5;3;240;6;medium;F;3;1321;no
113;D;Ship;3;5;223;4;low;F;46;3938;yes
114;A;Ship;5;2;260;4;medium;F;3;5890;no
115;B;Road;5;5;240;5;medium;M;7;1255;no
116;A;Ship;5;3;137;4;low;F;2;1034;no
117;F;Road;5;3;215;3;low;F;2;4731;yes
118;C;Ship;3;4;154;2;low;M;29;1016;yes
119;A;Ship;2;4;194;2;low;F;4;4803;yes
120;B;Flight;5;4;268;3;medium;M;6;2206;yes
121;F;Ship;5;3;189;3;medium;F;7;5830;yes
122;B;Ship;3;2;234;2;medium;M;8;4012;yes
123;B;Ship;5;2;232;6;medium;F;3;1540;no
124;A;Road;4;5;202;3;low;F;6;2616;yes
125;F;Ship;4;4;149;3;medium;F;2;4241;yes
126;A;Flight;4;3;169;6;medium;M;3;5957;yes
127;F;Ship;6;3;189;3;medium;F;3;5062;no
128;B;Road;4;2;239;2;medium;F;9;4360;no
129;D;Ship;4;4;218;2;low;M;9;5637;no
130;F;Ship;6;4;164;5;low;M;20;1555;yes
131;A;Ship;3;2;159;2;medium;M;8;4326;no
132;D;Ship;3;4;159;2;medium;F;6;4990;yes
133;B;Flight;3;2;272;3;medium;F;40;3766;yes
134;C;Ship;4;2;174;3;low;M;9;1682;yes
135;F;Ship;4;4;193;3;low;M;2;5975;yes
136;B;Ship;3;3;223;10;low;F;7;4273;yes
137;A;Ship;4;1;224;4;medium;F;5;4887;no
138;F;Ship;4;1;208;3;medium;F;8;4890;yes
139;F;Ship;4;1;273;6;medium;M;1;1826;no
140;C;Road;5;3;236;5;medium;M;10;1630;no
141;F;Flight;5;1;211;2;medium;M;1;5913;yes
142;D;Ship;5;4;257;2;medium;M;10;5095;no
143;D;Ship;5;2;173;4;medium;M;4;5363;no
144;B;Ship;5;4;223;5;low;F;2;1713;no
145;C;Flight;2;1;111;3;medium;M;16;1882;yes
146;F;Ship;4;1;229;3;medium;F;20;2891;yes
147;B;Ship;5;4;226;6;low;M;1;1327;no
148;D;Road;4;2;221;3;low;F;7;4856;no
149;C;Ship;4;5;226;2;low;M;1;4532;no
150;A;Ship;4;2;275;5;medium;M;5;1900;no
151;B;Flight;3;2;257;2;low;F;9;5085;yes
152;F;Ship;6;4;217;4;medium;F;4;4247;yes
153;C;Flight;4;4;264;5;low;M;3;1782;no
154;B;Ship;4;4;223;5;medium;M;1;1124;yes
155;A;Road;5;2;262;5;medium;M;1;1483;no
156;F;Ship;5;1;153;2;low;F;55;1414;yes
157;A;Ship;4;1;163;8;medium;F;9;5489;yes
158;B;Ship;2;3;211;2;medium;M;2;4611;no
159;D;Ship;3;3;205;2;medium;F;58;2187;yes
160;F;Flight;4;1;173;3;high;M;1;5749;no
161;A;Ship;3;5;201;2;medium;M;2;4440;no
162;F;Ship;5;2;280;4;low;M;8;4539;yes
163;F;Flight;2;4;183;2;low;M;5;5335;yes
164;F;Ship;4;4;241;3;high;M;39;3798;yes
165;D;Road;3;2;204;2;medium;F;35;2090;yes
166;B;Road;2;4;269;4;low;M;2;4267;yes
167;A;Ship;4;5;167;2;low;F;7;5800;no
168;F;Road;3;2;257;3;medium;M;2;5486;yes
169;F;Flight;2;5;157;3;medium;F;4;4888;no
170;F;Road;4;2;248;2;low;F;10;5783;no
171;C;Ship;2;5;241;3;medium;F;3;4253;yes
172;A;Ship;6;3;282;4;low;M;9;1417;yes
173;D;Ship;3;3;143;3;medium;M;23;1281;yes
174;C;Road;4;4;198;2;low;F;5;2270;yes
175;F;Ship;3;4;229;6;medium;F;3;5471;no
176;C;Flight;4;1;190;4;medium;F;5;5570;yes
177;D;Ship;3;2;245;3;medium;F;7;4121;no
178;C;Road;3;3;207;6;high;F;24;3702;yes
179;F;Ship;7;4;301;4;low;F;1;1150;no
180;F;Road;4;4;145;3;medium;F;3;5424;yes
181;F;Flight;5;4;266;5;medium;M;8;1592;yes
182;B;Ship;4;3;231;3;medium;F;8;5069;yes
183;B;Road;4;4;206;3;medium;F;33;2804;yes
184;F;Flight;5;2;247;3;low;M;32;3645;yes
185;C;Road;3;1;186;2;medium;M;3;5818;no
186;D;Ship;3;1;238;2;medium;M;5;4355;yes
187;D;Flight;3;4;156;4;medium;F;7;1492;yes
188;C;Ship;4;5;205;4;medium;F;5;5264;no
189;C;Road;5;3;256;6;medium;F;5;5614;yes
190;F;Ship;4;3;201;2;low;F;4;4955;yes
191;F;Ship;5;5;232;7;medium;M;6;5139;no
192;F;Road;3;4;159;3;high;M;4;4756;yes
193;C;Ship;5;5;265;3;low;M;6;4423;yes
194;C;Ship;4;2;247;2;medium;M;7;4955;yes
195;F;Road;5;1;231;5;low;M;10;1418;no
196;B;Ship;4;2;173;3;medium;F;63;1220;yes
197;F;Flight;2;5;168;2;low;F;1;4831;no
198;C;Ship;3;5;268;2;low;F;4;5909;no
199;C;Ship;3;4;113;4;low;F;56;1154;yes
200;B;Ship;3;4;216;3;medium;M;3;5651;no
201;F;Flight;4;1;181;2;low;M;2;4154;no
202;F;Road;2;5;147;2;medium;F;8;5499;no
203;C;Ship;6;4;255;4;low;M;7;1869;yes
204;B;Flight;4;5;268;3;medium;M;7;3622;yes
205;F;Ship;3;1;150;2;medium;F;46;1431;yes
206;A;Road;3;2;214;2;high;F;7;4938;no
207;C;Ship;3;2;154;2;medium;M;4;5864;no
208;C;Flight;5;1;241;5;medium;M;3;1379;no
209;F;Flight;7;4;270;4;medium;F;5;1735;no
210;F;Ship;5;2;245;2;low;M;6;5366;yes
211;F;Ship;2;4;272;2;medium;M;4;4632;no
212;C;Flight;3;2;227;3;high;M;5;4167;yes
213;B;Ship;3;3;185;4;low;F;6;4015;no
214;B;Ship;5;4;199;4;low;F;7;5740;no
215;F;Ship;4;5;274;5;low;M;7;1225;no
216;A;Ship;4;5;258;5;medium;M;2;1481;no
217;F;Road;4;5;234;5;low;F;1;1991;yes
218;A;Ship;4;5;208;2;low;F;4;5831;no
219;D;Ship;3;2;234;3;medium;M;33;2789;yes
220;F;Ship;3;3;179;3;medium;F;12;1125;yes
221;A;Ship;3;1;139;5;medium;F;5;4572;no
222;F;Ship;6;4;264;4;low;M;1;1660;yes
223;A;Ship;4;2;143;6;medium;M;20;1654;yes
224;B;Ship;3;2;192;3;medium;F;64;3233;yes
225;C;Flight;3;3;180;7;medium;F;4;5068;yes
226;C;Ship;3;2;181;3;low;M;4;5966;yes
227;F;Ship;3;2;194;3;low;F;3;5779;yes
228;F;Flight;6;3;297;4;medium;M;1;1080;no
229;B;Ship;6;4;288;4;medium;F;9;1575;no
230;D;Ship;4;3;173;4;low;M;9;5672;no
231;F;Ship;2;2;134;3;low;M;38;1352;yes
232;F;Ship;4;4;174;2;low;F;1;4541;yes
233;B;Ship;3;1;146;4;low;F;10;4583;no
234;A;Ship;6;4;248;4;low;F;6;1851;no
235;A;Road;4;4;225;3;low;M;51;2892;yes
236;B;Ship;4;4;149;2;medium;F;2;5881;no
237;C;Flight;3;3;244;4;medium;M;10;5181;no
238;B;Ship;3;3;147;3;low;M;16;1563;yes
239;F;Road;5;4;211;6;low;M;33;3955;yes
240;F;Ship;3;4;249;3;low;M;31;3489;yes
241;C;Road;3;4;150;2;medium;M;64;1777;yes
242;F;Ship;6;5;291;4;low;M;3;1102;yes
243;C;Ship;4;3;229;2;medium;F;8;5868;no
244;A;Ship;4;1;263;2;low;F;5;4010;yes
245;B;Ship;6;5;174;3;medium;F;32;1921;yes
246;C;Ship;3;2;231;4;medium;M;4;5510;no
247;C;Ship;4;2;271;3;low;F;19;2693;yes
248;B;Ship;4;1;220;3;medium;M;1;5159;yes
249;D;Road;5;1;158;3;low;M;9;1483;yes
250;D;Ship;4;1;189;2;low;M;10;4646;no
251;F;Ship;3;4;212;8;low;F;34;2750;yes
252;D;Ship;2;5;284;3;medium;M;6;4575;no
253;F;Ship;4;4;247;3;low;M;55;2361;yes
254;A;Ship;5;4;193;3;medium;M;4;5873;no
255;D;Road;4;1;150;2;low;M;5;4140;no
256;D;Road;5;4;173;3;low;M;9;5432;no
257;C;Ship;5;3;138;3;low;F;5;5687;yes
258;D;Ship;5;4;214;2;medium;F;1;3709;yes
259;F;Ship;4;2;182;3;medium;M;7;4710;yes
260;A;Ship;4;5;206;2;medium;F;10;4437;no
261;C;Ship;4;3;235;3;high;F;10;4172;no
262;F;Road;5;2;221;5;low;F;2;1855;no
263;D;Ship;6;1;247;4;medium;F;10;1783;no
264;A;Ship;3;4;240;2;medium;F;2;3729;yes
265;F;Ship;4;4;205;3;low;F;11;2255;yes
266;F;Ship;3;3;169;2;medium;F;8;4281;yes
267;A;Ship;4;1;199;2;low;F;46;3371;yes
268;F;Ship;5;1;203;5;medium;M;2;4845;no
269;A;Ship;4;1;247;2;low;M;3;4113;no
270;A;Flight;6;2;225;6;low;M;44;2057;yes
271;B;Flight;5;3;230;5;medium;M;4;1123;no
272;F;Flight;3;3;192;7;high;F;25;2152;yes
273;A;Flight;4;2;249;6;low;F;9;1673;yes
274;C;Ship;2;1;180;2;medium;F;31;1078;yes
275;F;Flight;4;4;196;5;low;F;6;4258;no
276;A;Ship;3;5;224;3;low;M;6;5115;no
277;C;Ship;3;5;226;2;medium;F;2;1043;yes
278;A;Ship;3;1;221;2;medium;F;6;5267;no
279;F;Road;5;2;254;6;low;F;5;1951;no
280;C;Road;3;4;261;2;medium;F;52;3340;yes
281;F;Ship;2;4;122;2;low;F;32;1213;yes
282;B;Ship;4;4;195;4;medium;M;2;5464;no
283;F;Ship;3;4;153;4;low;M;5;5604;yes
284;F;Ship;3;3;261;8;low;M;10;4145;no
285;D;Ship;5;3;222;4;medium;M;2;4060;no
286;F;Ship;5;3;242;5;low;F;10;1846;yes
287;B;Ship;3;3;140;4;low;F;47;1207;yes
288;A;Road;7;1;275;4;medium;M;7;1754;no
289;F;Ship;3;1;183;3;medium;M;7;5849;yes
290;F;Flight;2;4;233;4;medium;F;4;5408;no
291;A;Flight;6;5;267;4;low;M;3;1550;no
292;D;Ship;3;3;160;2;high;M;6;5667;no
293;F;Ship;4;3;232;3;low;M;11;2624;yes
294;B;Ship;4;3;165;2;low;M;2;5210;no
295;F;Ship;5;1;186;4;medium;M;5;5239;no
296;F;Ship;2;2;162;3;high;M;10;4489;yes
297;D;Ship;3;1;226;2;low;M;4;4804;no
298;F;Ship;6;3;255;4;low;M;6;1654;yes
299;C;Ship;5;1;259;3;high;F;37;3023;yes
300;B;Ship;5;3;162;4;medium;M;38;1407;yes
301;F;Ship;5;1;160;2;low;M;32;1576;yes
302;F;Flight;6;3;178;5;low;F;5;4567;no
303;B;Ship;5;2;240;5;medium;M;3;1079;no
304;B;Ship;4;5;141;3;medium;M;12;1672;yes
305;A;Road;4;4;249;6;low;F;1;1398;yes
306;F;Ship;4;4;201;2;low;F;1;3147;yes
307;F;Ship;5;2;235;2;low;F;10;4938;no
308;C;Ship;6;1;260;3;low;F;4;1338;yes
309;D;Ship;6;5;268;4;medium;F;1;1248;yes
310;D;Ship;4;5;254;3;medium;F;10;4148;no
311;F;Flight;4;3;235;5;low;F;4;1839;yes
312;F;Road;4;3;180;3;medium;M;4;5471;no
313;F;Ship;4;1;225;2;medium;M;5;5714;yes
314;F;Flight;4;5;187;2;low;M;6;4316;yes
315;F;Flight;4;1;171;4;medium;M;2;5082;no
316;A;Ship;2;3;141;2;medium;F;28;1624;yes
317;D;Ship;5;2;96;2;low;F;50;1186;yes
318;B;Flight;4;3;149;3;medium;M;17;1990;yes
319;A;Ship;3;4;98;2;low;F;32;1539;yes
320;F;Ship;4;3;195;3;low;M;7;4915;yes
321;D;Ship;4;2;166;5;low;M;8;4493;no
322;C;Ship;4;2;194;4;medium;F;26;3818;yes
323;F;Flight;3;1;162;3;medium;F;10;5726;no
324;B;Ship;3;2;294;4;low;F;15;1318;yes
325;C;Ship;3;1;268;3;low;F;47;2479;yes
326;A;Ship;4;5;233;4;low;F;6;4652;no
327;F;Flight;4;4;146;3;medium;F;6;4672;yes
328;C;Ship;6;5;211;4;medium;F;4;4032;no
329;C;Ship;3;4;188;4;low;F;6;5016;no
330;D;Flight;5;2;187;3;medium;M;11;2936;yes
331;B;Ship;5;5;167;2;medium;M;2;5908;no
332;D;Ship;6;2;232;3;medium;F;7;5219;yes
333;F;Flight;6;2;243;4;low;M;4;1768;no
334;C;Ship;4;4;155;2;medium;F;9;4932;yes
335;C;Ship;6;1;123;5;medium;M;5;5323;yes
336;A;Flight;7;2;284;4;low;F;1;1085;yes
337;F;Ship;2;3;169;3;medium;M;48;1279;yes
338;D;Flight;4;2;283;2;high;F;1;4115;no
339;C;Ship;4;1;162;3;medium;M;6;4343;yes
340;B;Road;2;2;158;3;high;F;1;4149;no
341;C;Ship;6;2;304;5;medium;M;6;1178;yes
342;F;Road;4;3;243;4;low;F;9;4811;no
343;F;Ship;4;3;175;4;medium;F;5;5177;yes
344;A;Road;4;1;162;2;low;F;47;1540;yes
345;F;Ship;6;1;217;4;medium;M;3;5571;no
346;F;Ship;5;4;260;6;low;F;2;1765;no
347;C;Ship;4;2;152;2;low;M;7;5026;no
348;A;Ship;3;2;148;2;low;F;1;4133;yes
349;B;Ship;4;2;250;5;medium;M;10;1026;yes
350;F;Road;3;1;209;2;low;M;6;5701;yes
351;D;Ship;5;2;241;3;low;M;39;3743;yes
352;F;Flight;3;4;157;3;medium;F;6;5611;no
353;A;Ship;3;1;169;3;low;F;6;4081;yes
354;C;Ship;2;4;160;5;low;F;3;1645;no
355;F;Ship;3;5;194;2;medium;M;4;3496;yes
356;A;Ship;5;4;252;5;low;M;9;1133;yes
357;B;Ship;3;5;150;2;low;F;48;1256;yes
358;C;Ship;2;4;120;2;medium;M;13;1240;yes
359;F;Flight;6;1;285;4;low;F;3;1448;yes
360;D;Ship;3;1;249;3;low;F;43;3277;yes
361;B;Flight;4;3;153;3;low;M;5;5743;yes
362;D;Ship;5;2;265;5;medium;F;5;1864;no
363;B;Ship;6;3;274;6;medium;F;2;4281;no
364;B;Ship;4;3;171;6;medium;F;9;1909;yes
365;D;Ship;5;4;163;4;medium;M;57;1613;yes
366;F;Ship;6;3;278;4;medium;M;4;1716;no
367;C;Ship;3;3;214;3;medium;M;3;4056;yes
368;A;Ship;3;4;206;4;medium;M;2;4372;no
369;A;Road;6;3;232;5;high;M;10;4576;yes
370;F;Ship;3;2;264;3;medium;F;43;3439;yes
371;F;Flight;3;5;169;3;medium;M;13;1934;yes
372;C;Road;4;3;187;4;low;M;4;4757;no
373;F;Flight;4;2;229;4;low;F;32;3518;yes
374;D;Ship;5;2;236;6;low;F;6;1552;no
375;F;Ship;3;4;138;3;low;F;54;1648;yes
376;F;Ship;6;4;292;4;low;M;9;1056;yes
377;A;Ship;3;5;155;4;low;F;1;4432;yes
378;A;Ship;6;5;287;5;low;M;2;5611;yes
379;A;Ship;3;4;198;2;medium;M;19;2373;yes
380;F;Flight;5;3;165;2;medium;M;51;1429;yes
381;A;Ship;4;4;152;2;medium;F;5;5324;no
382;A;Road;3;1;164;10;medium;F;6;5603;no
383;D;Ship;5;2;123;5;low;F;4;5284;no
384;D;Ship;7;5;256;4;medium;F;2;1396;no
385;D;Ship;5;5;250;4;medium;F;8;1247;yes
386;A;Ship;5;5;148;4;medium;F;4;5909;no
387;F;Ship;6;4;255;4;low;F;3;1569;yes
388;D;Ship;3;3;149;4;low;F;2;5282;no
389;F;Ship;3;5;241;4;low;F;9;5526;yes
390;C;Ship;4;3;184;4;low;M;4;4030;yes
391;D;Ship;3;4;166;3;medium;M;43;1095;yes
392;D;Ship;5;4;263;2;high;F;8;4914;no
393;F;Flight;5;2;240;3;low;M;7;4744;yes
394;D;Ship;5;4;131;8;low;M;7;4471;no
395;C;Ship;4;3;254;2;high;F;3;4930;no
396;D;Ship;6;2;257;4;low;F;4;1929;yes
397;F;Ship;4;5;268;2;medium;M;46;3076;yes
398;C;Flight;4;4;220;2;medium;F;33;2897;yes
399;D;Road;4;1;258;3;medium;M;2;4188;no
400;C;Ship;3;2;201;3;medium;M;7;4890;no
401;F;Road;3;4;179;2;low;M;5;4882;yes
402;A;Ship;3;4;164;3;low;F;4;4796;no
403;F;Flight;5;4;197;4;low;F;40;3303;yes
404;F;Ship;5;2;140;5;medium;M;2;1521;no
405;F;Ship;5;5;226;3;low;M;50;2348;yes
406;F;Flight;5;4;259;5;low;F;2;1627;yes
407;C;Flight;6;3;275;6;low;M;4;4875;no
408;C;Ship;4;4;245;2;low;F;2;4297;yes
409;F;Flight;3;1;192;2;low;M;6;4056;no
410;D;Road;3;2;245;3;low;F;61;2188;yes
411;A;Ship;5;4;191;4;low;M;8;4566;yes
412;B;Ship;4;3;235;3;medium;F;4;4739;no
413;D;Ship;3;1;200;2;medium;M;27;2551;yes
414;D;Ship;3;1;207;4;low;F;9;5889;no
415;A;Road;6;2;309;4;medium;M;10;1782;no
416;D;Ship;3;2;161;3;medium;M;2;4174;yes
417;D;Flight;3;3;199;3;medium;F;1;4006;yes
418;D;Ship;5;3;170;3;medium;F;4;4446;yes
419;F;Ship;3;2;212;3;medium;F;9;2521;yes
420;D;Ship;3;3;211;4;low;M;7;4733;no
421;D;Ship;4;2;244;3;high;F;3;4103;no
422;D;Ship;6;3;133;5;medium;M;32;1367;yes
423;F;Ship;3;5;269;5;low;M;6;5932;yes
424;A;Ship;3;5;169;3;low;M;1;4636;yes
425;A;Flight;3;3;204;3;low;M;6;5296;yes
426;F;Road;4;4;150;4;low;M;5;1263;yes
427;A;Road;4;2;197;3;low;M;4;5800;no
428;F;Ship;5;5;263;2;medium;M;8;4350;no
429;D;Road;5;5;247;2;medium;M;5;4250;no
430;D;Ship;3;2;250;3;low;F;37;2736;yes
431;F;Ship;3;2;201;3;medium;M;5;2040;yes
432;C;Ship;3;4;165;2;low;M;48;1706;yes
433;D;Road;5;3;220;3;low;M;37;2294;yes
434;A;Ship;4;5;202;3;medium;M;8;5416;no
435;F;Ship;5;3;189;5;low;M;7;4869;no
436;A;Ship;5;5;243;6;low;M;9;1348;no
437;F;Ship;3;1;254;2;low;M;56;3463;yes
438;D;Road;4;5;180;3;medium;F;1;5088;no
439;D;Road;5;3;222;2;medium;M;3;4460;yes
440;F;Ship;3;1;205;4;high;F;3;4426;no
441;F;Flight;4;3;206;4;low;M;1;4596;yes
442;F;Ship;6;3;272;4;low;M;5;1355;yes
443;C;Road;7;5;283;5;low;M;8;1578;no
444;A;Ship;3;1;270;4;low;M;47;3487;yes
445;B;Ship;4;2;195;5;medium;M;9;5178;yes
446;D;Flight;3;4;207;10;low;F;6;5856;no
447;B;Road;5;2;227;6;medium;F;6;1620;no
448;F;Road;3;3;266;2;medium;M;46;3594;yes
449;F;Ship;4;5;223;3;medium;F;63;2427;yes
450;F;Road;3;2;236;3;medium;M;8;5783;no
451;C;Road;4;3;207;10;low;F;9;4179;no
452;D;Ship;4;3;119;5;medium;M;5;1841;yes
453;A;Flight;6;4;249;5;medium;M;43;3078;yes
454;F;Flight;5;2;161;2;medium;F;59;1859;yes
455;F;Ship;7;1;255;4;medium;F;8;1088;yes
456;A;Ship;4;5;149;6;medium;M;40;1974;yes
457;B;Ship;3;4;253;3;medium;M;4;4269;no
458;C;Flight;6;1;281;3;medium;F;36;2536;yes
459;F;Ship;5;3;150;3;medium;M;21;1187;yes
460;A;Flight;5;2;260;3;low;F;22;2935;yes
461;A;Ship;5;5;235;5;low;M;8;1332;yes
462;F;Ship;5;4;237;3;medium;F;1;4369;no
463;D;Road;7;5;244;4;low;M;2;1330;yes
464;F;Road;5;3;146;4;low;M;5;1718;yes
465;B;Flight;2;1;199;2;low;F;10;5345;no
466;C;Road;4;1;148;3;high;F;23;1814;yes
467;B;Ship;5;3;185;2;low;M;2;5420;no
468;F;Road;4;3;186;3;low;M;7;5156;yes
469;F;Ship;3;4;153;2;low;F;24;1442;yes
470;F;Flight;4;4;275;3;high;M;29;2602;yes
471;A;Ship;7;3;281;4;low;M;1;1215;yes
472;C;Road;5;5;174;3;high;F;9;5969;yes
473;B;Ship;3;3;238;2;medium;M;2;5512;no
474;A;Ship;5;2;242;5;medium;F;1;1004;yes
475;C;Flight;3;3;134;2;high;M;1;5646;no
476;F;Ship;5;3;194;3;low;F;1;4331;no
477;D;Ship;3;3;135;3;low;F;19;1366;yes
478;C;Ship;3;4;267;2;low;M;9;5940;no
479;D;Ship;5;2;233;7;medium;F;8;5519;yes
480;B;Road;5;3;241;2;medium;M;5;5666;no
481;D;Ship;4;4;239;3;medium;F;7;5297;yes
482;A;Road;3;1;251;3;medium;M;42;3698;yes
483;B;Ship;3;1;242;3;medium;F;10;3606;yes
484;A;Ship;4;3;261;3;low;F;6;2787;yes
485;A;Road;3;4;148;4;medium;F;9;5301;no
486;F;Ship;4;1;191;3;low;M;2;5189;no
487;B;Road;5;2;173;3;low;F;7;1855;yes
488;C;Ship;4;2;243;3;medium;F;13;2850;yes
489;B;Ship;3;3;250;3;low;M;9;4993;no
490;A;Ship;5;2;247;3;medium;F;3;4698;yes
491;F;Ship;3;2;222;2;medium;M;1;4021;yes
492;D;Ship;5;4;171;5;medium;M;1;5749;no
493;C;Ship;3;5;184;3;low;F;2;4357;yes
494;F;Ship;4;3;245;4;medium;F;5;4660;no
495;F;Flight;6;2;271;4;low;F;2;1893;yes
