тип населенного пункта;численность населения;год рождения;возраст;образование;семейное положение;пол;день рождения;месяц рождения;жили в другом городе;национальность;трудоустройство;удовлетворенность работой;удовлетворенность оплатой;отрасль где работаете;месячная зарплата;были ли в отпуске последние 12 месяцев;удовлетворенность материальным положением;сколько классов закончили;в какой школе учились;вера;получаете пенсию;испытывате чувство одиночества;вес;рост;пульс;размер семьи;вы счастливы?
Город;26830;1965;52;техникум с дипломом;Bдовец (вдова);МУЖСКОЙ;24;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;16000;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;57;167;74;5;Да
Село;1130;1986;31;9 классов школы;Состоите в зарегистрированном браке;ЖЕНСКИЙ;4;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;СЕЛЬСКОЕ ХОЗЯЙСТВО;16000;Да;И да, и нет;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;56;168;84;5;Да
Село;3589;1962;55;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;9;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТРАНСПОРТ, СВЯЗЬ;18000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;76;175;59;5;Да
Областной центр;12325387;1963;53;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;1;Октябрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;20000;Да;Совсем не удовлетворены;8;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Редко;70;158;73;5;Да
Село;2305;1970;47;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;20;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СЕЛЬСКОЕ ХОЗЯЙСТВО;20000;Да;И да, и нет;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;93;168;83;2;Да
Город;42075;1982;35;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;28;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;20000;Да;Скорее удовлетворены;9;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;92;182;55;2;Да
Город;97384;1975;42;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;4;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;20000;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;57;159;68;3;Да
Областной центр;1143535;1968;49;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;19;Ноябрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;22000;Да;Скорее удовлетворены;10;В обычной средней школе;МУСУЛЬМАНСТВО;Да;Практически никогда;70;150;78;2;Да
Областной центр;12325387;1962;55;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;6;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;24000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;87;162;55;2;Нет
Областной центр;1143535;1975;42;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;20;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ;25000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;94;170;80;1;Да
ПГТ;7387;1979;38;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;12;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;35000;Да;Полностью удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;57;162;85;1;Да
Город;97296;1977;40;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;27;Октябрь;Да;НЕМЕЦ(КА);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;35000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;56;158;82;2;Да
Областной центр;837900;1986;31;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;22;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ;35000;Да;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;95;167;62;3;Да
Областной центр;592034;1962;55;среднее образование - есть аттестат о ср. образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;9;Декабрь;Да;АРМЯНИН(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;40000;Нет;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;62;165;57;5;Да
Село;299;1976;41;10 и более классов школы и какое-либо професс. обр. с дипломом;Никогда в браке не состояли;МУЖСКОЙ;16;Октябрь;Да;ЧУВАШ(КА);Вы сейчас работаете;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;СТРОИТЕЛЬСТВО;40000;Нет;И да, и нет;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;70;165;68;3;Да
Областной центр;1143535;1989;28;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;5;Ноябрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;100000;Да;Скорее удовлетворены;11;В гимназии, школе с гимназическими классами;МУСУЛЬМАНСТВО;Нет;Практически никогда;81;174;77;1;Да
Город;26830;1976;41;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;29;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;7600;Да;Совсем не удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;76;161;78;1;Да
ПГТ;7387;1980;36;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;8;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЗДРАВООХРАНЕНИЕ;12000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;58;166;76;1;Да
Город;239800;1976;41;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;6;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;15000;Нет;Скорее удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;100;186;62;5;Да
Город;210115;1986;30;7-9 классов школы (незак. среднее) и менее 2 лет в техникуме;Никогда в браке не состояли;МУЖСКОЙ;30;Сентябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;15000;Нет;Совсем не удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;77;178;61;1;Да
Областной центр;973826;1972;45;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;2;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;15000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Часто;85;170;70;5;Нет
Город;95854;1987;30;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;21;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;15000;Нет;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;70;164;84;2;Да
Село;18500;1954;63;10 и более классов школы и какое-либо професс. обр. с дипломом;Разведены и в браке не состоите;ЖЕНСКИЙ;4;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;17000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;75;155;77;2;Нет
Областной центр;12325387;1955;62;8 классов школы;Bдовец (вдова);ЖЕНСКИЙ;18;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;20000;Да;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;84;153;57;4;Нет
Город;239800;1979;38;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;15;Октябрь;Да;КАЗАХ(ШКА);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;20000;Да;Совсем не удовлетворены;10;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Редко;68;164;66;4;Нет
Село;883;1967;50;среднее образование - есть аттестат о ср. образовании;Bдовец (вдова);ЖЕНСКИЙ;30;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;20000;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;90;158;70;1;Да
Областной центр;1143535;1985;31;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;27;Октябрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТРАНСПОРТ, СВЯЗЬ;20000;Нет;Совсем не удовлетворены;11;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;78;173;84;1;Да
ПГТ;9859;1957;60;среднее образование - есть аттестат о ср. образовании;Bдовец (вдова);ЖЕНСКИЙ;6;Октябрь;Да;КАБАРДИНЕЦ(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;20000;Да;И да, и нет;10;В обычной средней школе;МУСУЛЬМАНСТВО;Да;Редко;76;163;62;3;Да
Село;28362;1975;42;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;12;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;21000;Нет;Совсем не удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;87;172;66;3;Да
Областной центр;1253335;1965;52;есть диплом о высшем образовании;Никогда в браке не состояли;ЖЕНСКИЙ;1;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ФИНАНСЫ;21000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;60;170;74;1;Да
Село;28362;1964;52;есть диплом о высшем образовании;ОФИЦИАЛЬНО ЗАРЕГИСТРИРОВАНЫ, НО ВМЕСТЕ НЕ ПРОЖИВАЮТ;ЖЕНСКИЙ;14;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;23000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;77;164;82;2;Нет
Областной центр;524669;1967;49;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;4;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ;25000;Да;И да, и нет;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;83;178;70;1;Да
Областной центр;837900;1989;28;есть диплом о высшем образовании;Никогда в браке не состояли;МУЖСКОЙ;29;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;30000;Нет;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;72;180;63;2;Да
Город;61982;1978;38;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;22;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СЕЛЬСКОЕ ХОЗЯЙСТВО;30000;Да;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;90;182;56;5;Да
Город;111843;1984;33;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;1;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТРАНСПОРТ, СВЯЗЬ;30000;Нет;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;65;162;76;1;Да
Областной центр;12325387;1977;40;8 классов школы;Никогда в браке не состояли;ЖЕНСКИЙ;24;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;30000;Да;Совсем не удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Часто;75;170;66;2;Да
Областной центр;524669;1973;44;есть диплом о высшем образовании;Никогда в браке не состояли;ЖЕНСКИЙ;28;Октябрь;Да;УКРАИНЕЦ(КА);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ФИНАНСЫ;31000;Да;Совсем не удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;57;152;55;4;Да
Село;4154;1965;51;техникум с дипломом;Bдовец (вдова);ЖЕНСКИЙ;29;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;35000;Да;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;68;160;78;5;Да
Областной центр;333606;1965;52;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;17;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ;40000;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;75;170;64;3;Да
Город;210115;1982;35;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;7;Октябрь;Да;НЕМЕЦ(КА);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;40000;Да;Скорее удовлетворены;11;В обычной средней школе;КАТОЛИЦИЗМ;Нет;Практически никогда;97;182;65;2;Да
Областной центр;837900;1970;46;3 и более лет в высшем учебном заведении;Состоите в зарегистрированном браке;МУЖСКОЙ;15;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ;42000;Нет;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;92;182;59;5;Да
Областной центр;1143535;1978;39;7-9 классов школы (незак. среднее) и менее 2 лет в техникуме;Состоите в зарегистрированном браке;МУЖСКОЙ;5;Ноябрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;45000;Нет;Не очень удовлетворены;9;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;73;178;61;4;Да
Областной центр;744995;1977;40;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;3;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;46000;Да;Скорее удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;75;160;56;5;Да
Областной центр;12325387;1988;29;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;22;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СПОРТ, ТУРИЗМ, РАЗВЛЕЧЕНИЯ;50000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;91;184;67;2;Да
Областной центр;12325387;1962;55;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;6;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;110000;Да;Полностью удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;71;162;74;1;Да
Областной центр;12325387;1991;26;есть диплом о высшем образовании;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;12;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО;200000;Да;Полностью удовлетворены;11;В гимназии, школе с гимназическими классами;ПРАВОСЛАВИЕ;Нет;Практически никогда;78;167;66;1;Да
